"Indicator","GeoAreaName","Time_Detail","Value","Units","Source","SeriesDescription","SeriesCode"
"3.4.1","World",2019,14.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","World",2019,17.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2000,43.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2000,39.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2000,41.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2005,41.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2005,40,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2005,40.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2010,38.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2010,37.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2010,37.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2015,35.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2015,35.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2015,35.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2019,34.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2019,36.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Afghanistan",2019,35.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2000,23.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2000,12.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2000,18.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2005,25.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2005,14.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2005,20.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2010,21.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2010,17,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2010,19.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2015,10,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2015,13.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2015,17,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2019,16.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2019,6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Albania",2019,11.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2000,18.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2000,17.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2000,16.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2005,16.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2005,17.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2005,15.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2010,16.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2010,14.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2010,15.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2015,15.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2015,13.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2015,14.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2019,13.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2019,12.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Algeria",2019,14.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2000,32.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2000,24.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2000,28.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2005,29.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2005,24.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2005,27.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2010,27.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2010,21.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2010,24.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2015,26,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2015,19.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2015,22.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2019,19.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2019,22.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Angola",2019,25.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2000,21.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2000,16.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2000,18.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2005,19,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2005,15.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2005,17.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2010,20,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2010,16,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2010,17.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2015,18.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2015,17.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2015,18.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2019,17.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2019,17.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Antigua and Barbuda",2019,17.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Azerbaijan",2000,32.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Azerbaijan",2000,39.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Azerbaijan",2000,25.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Azerbaijan",2005,39.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Azerbaijan",2005,25,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Azerbaijan",2005,32.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Azerbaijan",2010,22.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Azerbaijan",2010,29.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
